date,nba_on_the_day,nba_day_before,nba_one_week_out,nba_two_weeks_out,nba_one_month_out,nba_two_months_out
2025-05-07,,,,,,24.0
2025-05-08,,,,,,19.0
2025-05-09,,,,,,23.0
2025-05-10,,,,,,24.0
2025-05-11,,,,,,25.0
2025-05-12,,,,,,22.0
2025-05-13,,,,,,25.0
2025-05-14,,,,,,22.0
2025-05-15,,,,,,21.0
2025-11-02,0.0,,,,,
2025-11-03,0.0,10.0,,,,
2025-11-09,3.0,3.0,21.0,,,
2025-11-16,,,11.0,11.0,,
2025-11-30,,,,,24.0,
2025-12-28,,,,,,21.0
2025-11-04,12.0,13.0,,,,
2025-11-10,0.0,2.0,15.0,,,
2025-11-17,,,0.0,13.0,,
2025-12-01,,,,,20.0,
2025-12-29,,,,,,24.0
2025-11-05,13.0,13.0,,,,
2025-11-11,0.0,0.0,20.0,,,
2025-11-18,,,11.0,10.0,,
2025-12-02,,,,,20.0,
2025-12-30,,,,,,29.0
2025-11-06,5.0,7.0,,,,
2025-11-12,,8.0,20.0,,,
2025-11-19,,,,23.0,,
2025-12-03,,,,,22.0,
2025-12-31,,,,,,0.0
2025-11-07,1.0,9.0,,,,
2025-11-13,,,0.0,,,
2025-11-20,,,,14.0,,
2025-12-04,,,,,21.0,
2026-01-01,,,,,,0.0
2025-11-08,0.0,0.0,,,,
2025-11-14,,,13.0,,,
2025-11-21,,,,20.0,,
2025-12-05,,,,,21.0,
2026-01-02,,,,,,25.0
2025-11-15,,,7.0,,,
2025-11-22,,,,11.0,,
2025-12-06,,,,,21.0,
2026-01-03,,,,,,23.0
2025-11-23,,,,10.0,,
2025-12-07,,,,,11.0,
2026-01-04,,,,,,12.0
2025-11-24,,,,0.0,,
2025-12-08,,,,,0.0,
2026-01-05,,,,,,0.0
2025-11-25,,,,23.0,,
2025-12-09,,,,,12.0,
2026-01-06,,,,,,25.0
