date,nba_on_the_day,nba_day_before,nba_one_week_out,nba_two_weeks_out,nba_one_month_out,nba_two_months_out
2025-11-09,17.0,26.0,27.0,,,
2025-11-16,,,29.0,32.0,,
2025-11-30,,,,,32.0,
2025-12-28,,,,,,33.0
2025-11-04,0.0,6.0,,,,
2025-11-10,0.0,3.0,9.0,,,
2025-11-17,,,0.0,13.0,,
2025-12-01,,,,,22.0,
2025-12-29,,,,,,20.0
2025-11-05,0.0,19.0,,,,
2025-11-11,7.0,0.0,11.0,,,
2025-11-18,,,15.0,15.0,,
2025-12-02,,,,,13.0,
2025-12-30,,,,,,27.0
2025-11-06,5.0,5.0,,,,
2025-11-12,,28.0,31.0,,,
2025-11-19,,,,25.0,,
2025-12-03,,,,,29.0,
2025-12-31,,,,,,0.0
2025-11-07,0.0,3.0,,,,
2025-11-13,,,16.0,,,
2025-11-20,,,,29.0,,
2025-12-04,,,,,23.0,
2026-01-01,,,,,,0.0
2025-11-08,0.0,0.0,,,,
2025-11-14,,,12.0,,,
2025-11-21,,,,15.0,,
2025-12-05,,,,,21.0,
2026-01-02,,,,,,0.0
2025-11-15,,,22.0,,,
2025-11-22,,,,11.0,,
2025-12-06,,,,,18.0,
2026-01-03,,,,,,36.0
2025-11-23,,,,29.0,,
2025-12-07,,,,,26.0,
2026-01-04,,,,,,36.0
2025-11-24,,,,0.0,,
2025-12-08,,,,,0.0,
2026-01-05,,,,,,0.0
2025-11-25,,,,13.0,,
2025-12-09,,,,,12.0,
2026-01-06,,,,,,27.0
